,u0,t0,te,phi,q,d
0,0.707261558625,527.875724798,13.2579067237,232.138993824,0.012673681993,0.431584069446
1,0.598658079367,521.465819207,11.3613769433,251.681851415,0.0279107446809,0.615644942861
2,0.621513644126,522.986860636,10.4696760669,247.626119956,0.0274362022111,0.668540356692
3,0.642081296268,524.174827571,16.7374835924,260.052033634,0.0320553569361,0.621332844173
4,0.65662321041,525.524962385,14.1744262906,230.309120729,0.036187406962,0.596206246649
5,0.679383177492,528.477137602,14.1698530483,217.305612626,0.0353756712813,0.554510193116
6,0.783541988905,519.668393188,12.3849945288,225.64102369,0.0356797544255,0.515766493734
7,0.850771632864,524.459028321,13.6939709865,229.680783789,0.0423740698703,0.479412610256
8,0.785794554116,518.203735436,18.0222317968,215.835426665,0.0333024683416,0.523566286673
9,0.883827846837,522.234665584,16.1302953783,192.173845257,0.0304562189583,0.53776523475
10,0.82358293798,518.841324865,11.4133722996,191.637976937,0.0258960466075,0.544973861727
11,0.868495831211,522.163556599,18.0728464468,194.770034684,0.0270596258803,0.541235608278
12,0.926635306076,516.288720593,16.1426122958,189.5876209,0.0179754694462,0.500582035866
13,0.887099045571,528.726200626,20.1874093708,182.783381583,0.0161836146766,0.555603326842
14,0.892566856307,530.82903988,17.4747181305,166.44430659,0.0115904809955,0.581033944242
15,0.891581936734,513.021459952,11.9057506683,192.214081794,0.0117348927809,0.56760460367
16,0.920097518031,511.337394872,12.1805629492,202.85559523,0.0119076746931,0.598549780835
17,0.917652501998,518.083585508,11.9610165321,221.780343587,0.00964327552358,0.627597598441
18,0.941334207967,520.642782562,19.0711835985,253.936244156,0.0108754560093,0.628558032059
19,0.885881797958,527.372740976,14.8915421481,265.834280823,0.0174146053381,0.579834909748
20,0.871124883498,542.380721996,16.2525317092,251.897109433,0.0295302756469,0.508180201315
21,0.764852779822,529.595159503,18.2394349191,237.90765568,0.0339231573578,0.538936478866
22,0.808966491842,519.197530697,23.2568392395,225.540831694,0.0369057141865,0.55297465501
23,0.769166266417,514.964180501,22.8593931151,215.500229616,0.0349751656089,0.586352997879
24,0.718656616249,510.760652886,27.3352729955,230.692841363,0.0421707936245,0.62041144557
25,0.763516888233,515.691324198,21.620063642,226.676869981,0.0392919497377,0.644865552765
